[2025-08-07 15:16:30,983] INFO django.server log_message:213 - "GET /api/auth/csrf_token/ HTTP/1.1" 200 80
[2025-08-07 15:16:31,042] INFO django.server log_message:213 - "GET /api/auth/csrf_token/ HTTP/1.1" 200 80
[2025-08-07 15:16:31,175] WARNING django.server log_message:213 - "GET /manifest.json HTTP/1.1" 404 2533
[2025-08-07 15:16:31,503] INFO django.server log_message:213 - "GET /api/users/profile/ HTTP/1.1" 200 289
[2025-08-07 15:16:31,605] INFO django.server log_message:213 - "GET /api/users/profile/ HTTP/1.1" 200 289
[2025-08-07 15:16:31,731] INFO django.server log_message:213 - "GET /api/users/ HTTP/1.1" 200 3561
[2025-08-07 15:16:31,879] INFO django.server log_message:213 - "GET /api/users/ HTTP/1.1" 200 3561
[2025-08-07 15:16:45,522] INFO django.utils.autoreload trigger_reload:265 - C:\Users\2129705\Python_Codes\Cursor\EduPortal\backend\eduportal\settings.py changed, reloading.
[2025-08-07 15:17:04,274] INFO django.utils.autoreload run_with_reloader:667 - Watching for file changes with StatReloader
[2025-08-07 15:17:18,350] INFO django.server log_message:213 - "GET /api/auth/csrf_token/ HTTP/1.1" 200 80
[2025-08-07 15:17:18,425] INFO django.server log_message:213 - "GET /api/auth/csrf_token/ HTTP/1.1" 200 80
[2025-08-07 15:17:18,720] WARNING django.server log_message:213 - "GET /manifest.json HTTP/1.1" 404 2533
[2025-08-07 15:17:18,940] INFO django.server log_message:213 - "GET /api/users/profile/ HTTP/1.1" 200 289
[2025-08-07 15:17:19,040] INFO django.server log_message:213 - "GET /api/users/profile/ HTTP/1.1" 200 289
[2025-08-07 15:17:19,137] INFO django.server log_message:213 - "GET /api/users/ HTTP/1.1" 200 3561
[2025-08-07 15:17:19,233] INFO django.server log_message:213 - "GET /api/users/ HTTP/1.1" 200 3561
[2025-08-07 15:17:35,871] INFO django.server log_message:213 - "GET /api/users/profile/ HTTP/1.1" 200 289
[2025-08-07 15:17:35,940] WARNING django.server log_message:213 - "GET /manifest.json HTTP/1.1" 404 2533
[2025-08-07 15:17:35,952] INFO django.server log_message:213 - "GET /api/users/profile/ HTTP/1.1" 200 289
[2025-08-07 15:17:36,380] INFO django.server log_message:213 - "GET /api/users/ HTTP/1.1" 200 3561
[2025-08-07 15:17:36,476] INFO django.server log_message:213 - "GET /api/users/ HTTP/1.1" 200 3561
[2025-08-07 15:17:48,421] INFO django.utils.autoreload trigger_reload:265 - C:\Users\2129705\Python_Codes\Cursor\EduPortal\backend\api\views.py changed, reloading.
[2025-08-07 15:18:00,742] INFO django.utils.autoreload run_with_reloader:667 - Watching for file changes with StatReloader
[2025-08-07 15:18:12,908] WARNING django.server log_message:213 - "PUT /api/users/1/ HTTP/1.1" 400 35
[2025-08-07 15:18:36,820] INFO django.server log_message:213 - "OPTIONS /api/users/8/ HTTP/1.1" 200 0
[2025-08-07 15:18:37,008] WARNING django.server log_message:213 - "PUT /api/users/8/ HTTP/1.1" 400 90
[2025-08-07 15:18:47,541] WARNING django.server log_message:213 - "GET /manifest.json HTTP/1.1" 404 2533
[2025-08-07 15:18:47,556] INFO django.server log_message:213 - "GET /api/users/profile/ HTTP/1.1" 200 289
[2025-08-07 15:18:47,579] INFO django.server log_message:213 - "GET /api/users/profile/ HTTP/1.1" 200 289
[2025-08-07 15:18:47,923] ERROR django.server log_message:213 - "GET /api/admin/settings/ HTTP/1.1" 500 105642
[2025-08-07 15:18:49,087] ERROR django.server log_message:213 - "GET /api/admin/settings/ HTTP/1.1" 500 105642
[2025-08-07 15:19:19,524] INFO django.server log_message:213 - "OPTIONS /api/admin/settings/ HTTP/1.1" 200 0
[2025-08-07 15:19:19,954] ERROR django.server log_message:213 - "PUT /api/admin/settings/ HTTP/1.1" 500 105651
[2025-08-07 15:20:17,442] WARNING django.server log_message:213 - "GET /manifest.json HTTP/1.1" 404 2533
[2025-08-07 15:20:25,572] INFO django.server log_message:213 - "GET /api/users/profile/ HTTP/1.1" 200 289
[2025-08-07 15:20:25,588] WARNING django.server log_message:213 - "GET /manifest.json HTTP/1.1" 404 2533
[2025-08-07 15:20:27,444] INFO django.server log_message:213 - "GET /api/users/profile/ HTTP/1.1" 200 289
[2025-08-07 15:20:28,037] ERROR django.server log_message:213 - "GET /api/admin/settings/ HTTP/1.1" 500 105662
[2025-08-07 15:20:33,402] ERROR django.server log_message:213 - "GET /api/admin/settings/ HTTP/1.1" 500 105662
[2025-08-07 15:20:52,675] ERROR django.server log_message:213 - "PUT /api/admin/settings/ HTTP/1.1" 500 105671
[2025-08-07 15:38:29,695] WARNING django.server log_message:213 - "GET /manifest.json HTTP/1.1" 404 2533
[2025-08-07 15:39:15,423] WARNING django.server log_message:213 - "GET /manifest.json HTTP/1.1" 404 2533
[2025-08-07 15:39:22,020] WARNING django.server log_message:213 - "GET /manifest.json HTTP/1.1" 404 2533
[2025-08-07 15:39:24,352] WARNING django.server log_message:213 - "GET /manifest.json HTTP/1.1" 404 2533
[2025-08-07 15:39:28,066] WARNING django.server log_message:213 - "GET /manifest.json HTTP/1.1" 404 2533
[2025-08-07 15:39:38,324] WARNING django.server log_message:213 - "GET /manifest.json HTTP/1.1" 404 2533
[2025-08-07 15:39:41,112] WARNING django.server log_message:213 - "GET /manifest.json HTTP/1.1" 404 2533
[2025-08-07 15:39:59,182] WARNING django.server log_message:213 - "GET /manifest.json HTTP/1.1" 404 2533
[2025-08-07 15:40:14,090] WARNING django.server log_message:213 - "GET /manifest.json HTTP/1.1" 404 2533
[2025-08-07 15:41:41,630] WARNING django.server log_message:213 - "GET /manifest.json HTTP/1.1" 404 2533
[2025-08-07 15:42:11,820] WARNING django.server log_message:213 - "GET /manifest.json HTTP/1.1" 404 2533
[2025-08-07 15:42:12,795] INFO django.utils.autoreload trigger_reload:265 - C:\Users\2129705\Python_Codes\Cursor\EduPortal\backend\eduportal\settings.py changed, reloading.
[2025-08-07 15:42:23,544] INFO django.utils.autoreload run_with_reloader:667 - Watching for file changes with StatReloader
[2025-08-07 15:42:50,117] INFO django.utils.autoreload trigger_reload:265 - C:\Users\2129705\Python_Codes\Cursor\EduPortal\backend\eduportal\settings.py changed, reloading.
[2025-08-07 15:43:04,692] INFO django.utils.autoreload run_with_reloader:667 - Watching for file changes with StatReloader
[2025-08-07 17:25:10,301] INFO django.utils.autoreload run_with_reloader:667 - Watching for file changes with StatReloader
[2025-08-07 17:25:16,968] WARNING django.server log_message:213 - "GET /manifest.json HTTP/1.1" 404 2533
[2025-08-07 17:25:18,898] WARNING django.server log_message:213 - "GET /manifest.json HTTP/1.1" 404 2533
[2025-08-07 17:25:43,952] WARNING django.server log_message:213 - "GET /manifest.json HTTP/1.1" 404 2533
[2025-08-07 17:25:44,724] INFO django.server log_message:213 - "GET /api/users/profile/ HTTP/1.1" 200 289
[2025-08-07 17:25:46,251] INFO django.server log_message:213 - "GET /api/users/profile/ HTTP/1.1" 200 289
[2025-08-07 17:25:46,864] ERROR django.server log_message:213 - "GET /api/admin/stats/ HTTP/1.1" 500 105706
[2025-08-07 17:25:46,917] ERROR django.server log_message:213 - "GET /api/admin/recent_activity/ HTTP/1.1" 500 105905
[2025-08-07 17:25:46,971] ERROR django.server log_message:213 - "GET /api/admin/analytics/?days=7 HTTP/1.1" 500 106158
[2025-08-07 17:25:47,840] WARNING django.server log_message:213 - "GET /manifest.json HTTP/1.1" 404 2533
[2025-08-07 17:26:19,760] WARNING django.server log_message:213 - "GET /manifest.json HTTP/1.1" 404 2533
[2025-08-07 17:34:55,236] INFO django.utils.autoreload run_with_reloader:667 - Watching for file changes with StatReloader
[2025-08-07 17:35:30,405] WARNING django.server log_message:213 - "GET /manifest.json HTTP/1.1" 404 2533
[2025-08-07 17:35:31,171] INFO django.server log_message:213 - "OPTIONS /api/auth/login/ HTTP/1.1" 200 0
[2025-08-07 17:35:32,454] INFO django.server log_message:213 - "POST /api/auth/login/ HTTP/1.1" 200 327
[2025-08-07 17:35:33,973] ERROR django.server log_message:213 - "GET /api/admin/analytics/?days=7 HTTP/1.1" 500 106158
[2025-08-07 17:35:34,121] ERROR django.server log_message:213 - "GET /api/admin/stats/ HTTP/1.1" 500 105706
[2025-08-07 17:35:34,297] ERROR django.server log_message:213 - "GET /api/admin/recent_activity/ HTTP/1.1" 500 105905
[2025-08-07 17:35:43,780] ERROR django.server log_message:213 - "GET /api/admin/stats/ HTTP/1.1" 500 105706
[2025-08-07 17:35:43,922] ERROR django.server log_message:213 - "GET /api/admin/analytics/?days=7 HTTP/1.1" 500 106158
